episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.1776290419511497,True,False
2,410.0,702,1087,0.1,0.024585707891012797,0.9448812499758787,True,False
3,1000.0,744,1831,0.1,0.026604584878265496,7.614622458990198,True,False
4,280.0,362,2193,0.1,0.036141376955189056,8.945472624967806,True,False
5,700.0,597,2790,0.1,0.0329316840358641,11.039058666967321,True,False
6,1200.0,656,3446,0.1,0.03296406286138269,15.956594999996014,True,False
7,410.0,438,3884,0.1,0.0321098917814776,19.305271291988902,True,False
8,210.0,395,4279,0.1,0.03495861827490889,22.454690583981574,True,False
9,480.0,537,4816,0.1,0.03514316713920346,24.39773820899427,True,False
10,510.0,602,5418,0.1,0.03255621578078717,26.615257416968234,True,False
11,410.0,467,5885,0.1,0.03646567153632959,29.413811124977656,True,False
12,640.0,673,6558,0.1,0.035386406616973023,31.821608749974985,True,False
13,1100.0,598,7156,0.1,0.039074328099377456,33.98355833400274,True,False
14,300.0,410,7566,0.1,0.03371215302853242,35.4238027499523,True,False
15,880.0,566,8132,0.1,0.03681348075985279,37.70455737499287,True,False
16,420.0,483,8615,0.1,0.03761192025267519,40.582920208980795,True,False
17,970.0,684,9299,0.1,0.04220458076945479,43.038688124972396,True,False
18,330.0,508,9807,0.1,0.03607853098339805,44.86686141695827,True,False
19,2050.0,649,10456,0.1,0.03381343887821754,47.16186558397021,True,False
20,1660.0,947,11403,0.1,0.03976353953426735,50.43386254197685,True,False
21,460.0,423,11826,0.1,0.03836791123316254,51.92271675000666,True,False
22,410.0,455,12281,0.1,0.03836901261258805,53.51555816695327,True,False
23,1150.0,851,13132,0.1,0.04034856015361601,56.4762067089905,True,False
24,520.0,482,13614,0.1,0.03858182943270852,58.1604159589624,True,False
25,410.0,476,14090,0.1,0.04051217400789762,59.82460945897037,True,False
26,680.0,861,14951,0.1,0.041355049568986474,63.74496683396865,True,False
27,460.0,650,15601,0.1,0.03753139222315027,66.01123354199808,True,False
28,1390.0,716,16317,0.1,0.03613122883278814,68.50912358396454,True,False
29,750.0,778,17095,0.1,0.035803092149153504,71.2111493749544,True,False
30,910.0,867,17962,0.1,0.0371364033308893,74.22781845898135,True,False
31,390.0,492,18454,0.1,0.03803678486511353,75.95319037500303,True,False
32,380.0,473,18927,0.1,0.03460119142378602,77.60826429195004,True,False
33,1050.0,680,19607,0.1,0.04326283650144058,82.28319216700038,True,False
34,480.0,581,20188,0.1,0.043226105100411465,84.37017312500393,True,False
35,320.0,402,20590,0.1,0.04300910033285618,85.78882645897102,True,False
36,2420.0,1089,21679,0.1,0.04808235565981116,89.55808333400637,True,False
37,400.0,578,22257,0.1,0.05185315169650933,91.58645245898515,True,False
38,1520.0,1012,23269,0.1,0.05103010658483967,96.17029833397828,True,False
39,670.0,618,23887,0.1,0.048684530220200105,98.33124674996361,True,False
40,900.0,573,24460,0.1,0.05020542519115326,100.81274762499379,True,False
41,730.0,604,25064,0.1,0.0486729225353492,103.07137529196916,True,False
